Season,Date,Left,Joined,MV,Fee,player
07/08,"Aug 11, 2007",Pannaxiakos,Thrasyvoul. U19,-,?,Konstantinos Manolas
20/21,"Sep 2, 2020",Bay. Leverkusen,Monaco,€28.00m,€11.00m,Kevin Volland
16/17,"Jul 1, 2016",TSG Hoffenheim,Bay. Leverkusen,€17.00m,€20.00m,Kevin Volland
11/12,"Jun 30, 2012",1860 Munich,TSG Hoffenheim,€3.50m,End of loan,Kevin Volland
10/11,"Jan 14, 2011",TSG Hoffenheim,1860 Munich,€350Th.,loan transfer,Kevin Volland
10/11,"Jan 13, 2011",1860 Munich,TSG Hoffenheim,€350Th.,€700Th.,Kevin Volland
10/11,"Jul 1, 2010",TSV 1860 U19,1860 Munich,-,-,Kevin Volland
09/10,"Jul 1, 2009",TSV 1860 U17,TSV 1860 U19,-,-,Kevin Volland
07/08,"Jul 1, 2007",Thannhausen Jgd,TSV 1860 U17,-,free transfer,Kevin Volland
06/07,"Jul 1, 2006",Memmingen Yth.,Thannhausen Jgd,-,free transfer,Kevin Volland
05/06,"Jul 1, 2005",Thalhofen Yth.,Memmingen Yth.,-,free transfer,Kevin Volland
15/16,"Aug 20, 2015",FC Porto,Juventus,€20.00m,€26.00m,Alex Sandro
11/12,"Jul 1, 2011",Maldonado,FC Porto,€1.80m,€9.60m,Alex Sandro
10/11,"Jun 30, 2011",Santos FC,Maldonado,€1.80m,End of loan,Alex Sandro
09/10,"Mar 1, 2010",Maldonado,Santos FC,€500Th.,loan transfer,Alex Sandro
09/10,"Feb 1, 2010",Atlético-PR,Maldonado,€500Th.,€2.20m,Alex Sandro
08/09,"Jul 1, 2008",Atlético-PR B,Atlético-PR,-,-,Alex Sandro
20/21,"Sep 1, 2020",Juventus,FC Barcelona,€45.00m,€60.00m,Miralem Pjanić
15/16,"Jun 13, 2016",AS Roma,Juventus,€35.00m,€32.00m,Miralem Pjanić
11/12,"Aug 31, 2011",Olympique Lyon,AS Roma,€9.00m,€11.00m,Miralem Pjanić
07/08,"Jun 6, 2008",FC Metz,Olympique Lyon,€5.50m,€7.50m,Miralem Pjanić
07/08,"Jul 1, 2007",FC Metz B,FC Metz,-,-,Miralem Pjanić
20/21,"Jul 1, 2020",Olympique Lyon,OGC Nice,€4.00m,€7.00m,Amine Gouiri
17/18,"Jul 1, 2017",Olymp. Lyon B,Olympique Lyon,-,-,Amine Gouiri
16/17,"Jul 1, 2016",Olymp. Lyon U19,Olymp. Lyon B,-,-,Amine Gouiri
15/16,"Jul 1, 2015",Ol. Lyon Yth.,Olymp. Lyon U19,-,-,Amine Gouiri
20/21,"Sep 17, 2020",Hellas Verona,AS Roma,€25.00m,Loan fee:€3.00m,Marash Kumbulla
18/19,"Jul 1, 2018",Verona U19,Hellas Verona,-,-,Marash Kumbulla
16/17,"Jul 1, 2016",Hellas U17,Verona U19,-,-,Marash Kumbulla
15/16,"Jul 1, 2015",Hellas Verona Y,Hellas U17,-,-,Marash Kumbulla
15/16,"Jul 1, 2015",Leeds U21,Leeds,-,-,Kalvin Phillips
14/15,"Jul 1, 2014",Leeds U18,Leeds U21,-,-,Kalvin Phillips
19/20,"Jul 8, 2019",Bournemouth,Aston Villa,€5.00m,€22.30m,Tyrone Mings
18/19,"May 31, 2019",Aston Villa,Bournemouth,€3.50m,End of loan,Tyrone Mings
18/19,"Jan 31, 2019",Bournemouth,Aston Villa,€3.50m,loan transfer,Tyrone Mings
15/16,"Jul 1, 2015",Ipswich,Bournemouth,€3.00m,€11.30m,Tyrone Mings
12/13,"Dec 13, 2012",Chippenham,Ipswich,-,€11Th.,Tyrone Mings
12/13,"Jul 1, 2012",Yate Town,Chippenham,-,free transfer,Tyrone Mings
10/11,"Jul 1, 2010",Brist. Rov. U18,Yate Town,-,free transfer,Tyrone Mings
08/09,"Jul 1, 2008",Southampton Aca,Brist. Rov. U18,-,free transfer,Tyrone Mings
17/18,"Jul 1, 2017",RB Salzburg,RB Leipzig,€8.00m,€7.00m,Konrad Laimer
14/15,"Jan 1, 2015",FC Liefering,RB Salzburg,€350Th.,-,Konrad Laimer
14/15,"Jul 1, 2014",AKA Salzb. U18,FC Liefering,€75Th.,-,Konrad Laimer
13/14,"Jul 1, 2013",AKA Salzb. U16,AKA Salzb. U18,-,-,Konrad Laimer
12/13,"Jul 1, 2012",AKA Salzb. U15,AKA Salzb. U16,-,-,Konrad Laimer
11/12,"Jul 1, 2011",Salzburg Youth,AKA Salzb. U15,-,-,Konrad Laimer
07/08,"Jul 10, 2007",Abersee Yth.,Salzburg Youth,-,?,Konrad Laimer
20/21,"Jul 1, 2020",Juventus,Bor. Dortmund,€24.00m,€25.00m,Emre Can
19/20,"Jun 30, 2020",Bor. Dortmund,Juventus,€24.00m,End of loan,Emre Can
19/20,"Jan 31, 2020",Juventus,Bor. Dortmund,€30.00m,Loan fee:€1.00m,Emre Can
18/19,"Jul 1, 2018",Liverpool,Juventus,€30.00m,free transfer,Emre Can
14/15,"Jul 1, 2014",Bay. Leverkusen,Liverpool,€7.50m,€12.00m,Emre Can
13/14,"Aug 2, 2013",FC Bayern ,Bay. Leverkusen,€1.50m,€5.00m,Emre Can
12/13,"Jul 1, 2012",FC Bayern II,FC Bayern ,€600Th.,-,Emre Can
11/12,"Jul 1, 2011",FC Bayern U19,FC Bayern II,-,-,Emre Can
10/11,"Jul 1, 2010",FC Bayern U17,FC Bayern U19,-,-,Emre Can
09/10,"Jul 1, 2009",Frankfurt Yth.,FC Bayern U17,-,free transfer,Emre Can
06/07,"Jul 1, 2006",Blau-Gelb Yth.,Frankfurt Yth.,-,free transfer,Emre Can
19/20,"Jul 1, 2019",Sevilla FC,Atalanta BC,€13.00m,€20.10m,Luis Muriel
18/19,"Jun 30, 2019",Fiorentina,Sevilla FC,€13.00m,End of loan,Luis Muriel
18/19,"Jan 3, 2019",Sevilla FC,Fiorentina,€8.00m,Loan fee:€1.00m,Luis Muriel
17/18,"Jul 11, 2017",Sampdoria,Sevilla FC,€17.00m,€24.50m,Luis Muriel
15/16,"Jul 1, 2015",Udinese Calcio,Sampdoria,€10.00m,€12.00m,Luis Muriel
14/15,"Jun 30, 2015",Sampdoria,Udinese Calcio,€10.00m,End of loan,Luis Muriel
14/15,"Jan 21, 2015",Udinese Calcio,Sampdoria,€10.00m,loan transfer,Luis Muriel
11/12,"Jun 30, 2012",Lecce,Udinese Calcio,€8.00m,End of loan,Luis Muriel
11/12,"Aug 1, 2011",Udinese Calcio,Lecce,€1.00m,loan transfer,Luis Muriel
10/11,"Apr 1, 2011",Granada CF,Udinese Calcio,€1.40m,End of loan,Luis Muriel
10/11,"Aug 1, 2010",Udinese Calcio,Granada CF,€1.50m,loan transfer,Luis Muriel
10/11,"Jul 1, 2010",Deportivo Cali,Udinese Calcio,€1.50m,€1.50m,Luis Muriel
08/09,"Jan 1, 2009",Dep. Cali U20,Deportivo Cali,-,-,Luis Muriel
07/08,"Jan 1, 2008",Junior FC U20,Dep. Cali U20,-,?,Luis Muriel
19/20,"Jul 1, 2019",Juventus,AS Roma,€15.00m,€29.50m,Leonardo Spinazzola
17/18,"Jun 30, 2018",Atalanta BC,Juventus,€12.00m,End of loan,Leonardo Spinazzola
16/17,"Jul 7, 2016",Juventus,Atalanta BC,€900Th.,loan transfer,Leonardo Spinazzola
15/16,"Jun 30, 2016",Perugia,Juventus,€600Th.,End of loan,Leonardo Spinazzola
15/16,"Jul 22, 2015",Juventus,Perugia,€600Th.,loan transfer,Leonardo Spinazzola
14/15,"Jun 30, 2015",Vicenza,Juventus,€600Th.,End of loan,Leonardo Spinazzola
14/15,"Feb 2, 2015",Juventus,Vicenza,€700Th.,loan transfer,Leonardo Spinazzola
14/15,"Feb 1, 2015",Atalanta BC,Juventus,€700Th.,End of loan,Leonardo Spinazzola
14/15,"Aug 11, 2014",Juventus,Atalanta BC,€700Th.,loan transfer,Leonardo Spinazzola
14/15,"Jul 1, 2014",Siena,Juventus,€250Th.,?,Leonardo Spinazzola
13/14,"Jul 1, 2013",Juventus,Siena,€250Th.,?,Leonardo Spinazzola
12/13,"Jun 30, 2013",Virtus Lanciano,Juventus,€250Th.,End of loan,Leonardo Spinazzola
12/13,"Jan 28, 2013",Juventus,Virtus Lanciano,€300Th.,loan transfer,Leonardo Spinazzola
12/13,"Jan 27, 2013",FC Empoli,Juventus,€300Th.,End of loan,Leonardo Spinazzola
12/13,"Jul 11, 2012",Juventus U19,FC Empoli,€100Th.,loan transfer,Leonardo Spinazzola
12/13,"Jul 1, 2012",Siena U19,Juventus U19,€100Th.,€400Th.,Leonardo Spinazzola
11/12,"Jun 30, 2012",Juventus U19,Siena U19,€100Th.,End of loan,Leonardo Spinazzola
10/11,"Jul 1, 2010",Siena U19,Juventus U19,-,loan transfer,Leonardo Spinazzola
19/20,"Jan 1, 2020",Palmeiras U20,Palmeiras,€7.00m,-,Gabriel Veron
18/19,"Jan 1, 2019",Palmeiras U17,Palmeiras U20,-,-,Gabriel Veron
19/20,"Jun 1, 2020",Sporting CP U23,Sporting CP,-,-,Nuno Mendes
19/20,"Jul 1, 2019",Sporting U17,Sporting CP U23,-,-,Nuno Mendes
17/18,"Jul 1, 2017",Sporting Sub-15,Sporting U17,-,-,Nuno Mendes
15/16,"Jul 1, 2015",Sporting Yth.,Sporting Sub-15,-,-,Nuno Mendes
19/20,"Aug 13, 2019",Paris FC,VfB Stuttgart,€3.00m,€8.00m,Silas Wamangituka
18/19,"Sep 12, 2018",Paris FC B,Paris FC,-,-,Silas Wamangituka
18/19,"Jul 1, 2018",Ol. Alès U19,Paris FC B,-,free transfer,Silas Wamangituka
19/20,"Jan 1, 2020",Olymp. Lyon B,Olympique Lyon,€8.00m,-,Rayan Cherki
19/20,"Jul 7, 2019",Olymp. Lyon U19,Olymp. Lyon B,-,-,Rayan Cherki
18/19,"Jul 1, 2018",Ol. Lyon Yth.,Olymp. Lyon U19,-,-,Rayan Cherki
20/21,"Jul 1, 2020",São Paulo,Ajax,€18.00m,€15.75m,Antony
18/19,"Jan 1, 2019",FC São Paulo B,São Paulo,-,-,Antony
17/18,"Jan 1, 2018",São Paulo U17,FC São Paulo B,-,-,Antony
20/21,"Sep 5, 2020",FC Porto,Wolves,€12.00m,€40.00m,Fábio Silva
19/20,"Jul 1, 2019",FC Porto U19,FC Porto,-,-,Fábio Silva
18/19,"Jul 1, 2018",FC Porto U17,FC Porto U19,-,-,Fábio Silva
17/18,"Jul 1, 2017",Benfica U15,FC Porto U17,-,?,Fábio Silva
15/16,"Jul 1, 2015",FC Porto Youth,Benfica U15,-,?,Fábio Silva
18/19,"Jul 10, 2018",Argentinos Jrs.,VfB Stuttgart,€5.00m,€8.50m,Nicolás González
16/17,"Jul 1, 2016",Argentinos U20,Argentinos Jrs.,-,-,Nicolás González
20/21,"Oct 5, 2020",FC Barcelona B,FC Barcelona,€10.00m,-,Ronald Araújo
18/19,"Aug 29, 2018",Boston River,FC Barcelona B,€175Th.,€4.70m,Ronald Araújo
17/18,"Jul 28, 2017",Rentistas,Boston River,€100Th.,€395Th.,Ronald Araújo
16/17,"Jul 1, 2016",Rentistas U19,Rentistas,-,-,Ronald Araújo
18/19,"Feb 1, 2019",FC Barcelona,Real Betis,€50Th.,€6.00m,Emerson Royal
18/19,"Jan 31, 2019",Atlético-MG,FC Barcelona,€50Th.,€12.00m,Emerson Royal
17/18,"Apr 14, 2018",Ponte Preta,Atlético-MG,€50Th.,€1.18m,Emerson Royal
16/17,"Jan 1, 2017",Ponte Preta U20,Ponte Preta,-,-,Emerson Royal
15/16,"Jan 1, 2016",Ponte Preta U17,Ponte Preta U20,-,-,Emerson Royal
13/14,"Jan 1, 2014",São Paulo U17,Ponte Preta U17,-,free transfer,Emerson Royal
20/21,"Jan 1, 2021",RB Salzburg,RB Leipzig,€25.00m,€20.00m,Dominik Szoboszlai
17/18,"Jan 16, 2018",FC Liefering,RB Salzburg,€500Th.,-,Dominik Szoboszlai
17/18,"Jul 1, 2017",AKA Salzb. U18,FC Liefering,-,-,Dominik Szoboszlai
16/17,"Mar 30, 2017",Videoton Jgd.,AKA Salzb. U18,-,€500Th.,Dominik Szoboszlai
16/17,"Jul 1, 2016",MTK Yth.,Videoton Jgd.,-,?,Dominik Szoboszlai
15/16,"Aug 1, 2015",Videoton Jgd.,MTK Yth.,-,?,Dominik Szoboszlai
20/21,"Sep 30, 2020",AC Milan,Olympique Lyon,€20.00m,€20.00m,Lucas Paquetá
18/19,"Jan 3, 2019",Flamengo,AC Milan,€15.00m,€38.40m,Lucas Paquetá
16/17,"Mar 2, 2016",Flamengo U20,Flamengo,-,-,Lucas Paquetá
20/21,"Sep 24, 2020",Stade Rennais,Chelsea,€7.00m,€24.00m,Edouard Mendy
19/20,"Aug 6, 2019",Stade Reims,Stade Rennais,€9.00m,€7.60m,Edouard Mendy
16/17,"Jul 1, 2016",Marseille B,Stade Reims,-,free transfer,Edouard Mendy
15/16,"Jul 1, 2015",Without Club,Marseille B,-,-,Edouard Mendy
14/15,"Jul 1, 2014",AS Cherbourg,Without Club,-,-,Edouard Mendy
11/12,"Jul 1, 2011",Caucriauville ,AS Cherbourg,-,free transfer,Edouard Mendy
20/21,"Sep 1, 2020",LOSC Lille,Arsenal,€20.00m,€26.00m,Gabriel
17/18,"Jun 30, 2018",Din. Zagreb II,LOSC Lille,€600Th.,End of loan,Gabriel
17/18,"Feb 15, 2018",LOSC Lille,Din. Zagreb II,€600Th.,loan transfer,Gabriel
17/18,"Feb 14, 2018",Troyes,LOSC Lille,€600Th.,End of loan,Gabriel
17/18,"Jul 1, 2017",LOSC Lille,Troyes,€600Th.,loan transfer,Gabriel
16/17,"Jan 31, 2017",Avaí FC,LOSC Lille,€350Th.,€3.00m,Gabriel
15/16,"Jan 1, 2016",Avaí FC U20,Avaí FC,-,-,Gabriel
20/21,"Aug 25, 2020",FC Sochaux,VfL Wolfsburg,€1.00m,€5.00m,Maxence Lacroix
18/19,"Jul 1, 2018",FC Sochaux U19,FC Sochaux,-,-,Maxence Lacroix
19/20,"Jan 29, 2020",G. Bordeaux,Monaco,€14.00m,€18.00m,Aurélien Tchouaméni
18/19,"Jul 1, 2018",G. Bordeaux B,G. Bordeaux,-,-,Aurélien Tchouaméni
17/18,"Jul 1, 2017",Bordeaux U19,G. Bordeaux B,-,-,Aurélien Tchouaméni
20/21,"Aug 3, 2020",Braga,FC Barcelona,€16.00m,€31.00m,Trincão
18/19,"Jul 1, 2018",Braga B,Braga,€1.50m,-,Trincão
15/16,"Feb 1, 2016",Braga U19,Braga B,-,-,Trincão
15/16,"Jul 1, 2015",Braga U17,Braga U19,-,-,Trincão
14/15,"Jun 30, 2015",Palmeiras U17,Braga U17,-,End of loan,Trincão
14/15,"Jul 1, 2014",Braga U15,Palmeiras U17,-,loan transfer,Trincão
12/13,"Jul 1, 2012",SC Braga Youth,Braga U15,-,-,Trincão
20/21,"Oct 5, 2020",Stade Rennais,Leeds,€16.00m,€18.58m,Raphinha
19/20,"Sep 2, 2019",Sporting CP,Stade Rennais,€8.00m,€21.00m,Raphinha
18/19,"Jul 1, 2018",Vit. Guimarães,Sporting CP,€6.50m,€6.50m,Raphinha
16/17,"Jul 1, 2016",Guimarães B,Vit. Guimarães,€250Th.,-,Raphinha
15/16,"Feb 1, 2016",Avaí FC U20,Guimarães B,-,€600Th.,Raphinha
19/20,"Jul 14, 2019",Celta de Vigo,Valencia,€40.00m,€14.50m,Maxi Gómez
17/18,"Jul 1, 2017",Defensor,Celta de Vigo,€1.10m,€4.00m,Maxi Gómez
15/16,"Jul 1, 2015",Defensor U19,Defensor,-,-,Maxi Gómez
20/21,"Feb 1, 2021",FC Schalke 04,Liverpool,€25.00m,Loan fee:€1.10m,Ozan Kabak
19/20,"Jul 1, 2019",VfB Stuttgart,FC Schalke 04,€15.00m,€15.00m,Ozan Kabak
18/19,"Jan 17, 2019",Galatasaray,VfB Stuttgart,€6.50m,€11.00m,Ozan Kabak
18/19,"Jul 1, 2018",Galatasaray U21,Galatasaray,€150Th.,-,Ozan Kabak
17/18,"Jul 1, 2017",Galatasaray U17,Galatasaray U21,-,-,Ozan Kabak
16/17,"Jul 1, 2016",Galatasaray U16,Galatasaray U17,-,-,Ozan Kabak
15/16,"Jul 1, 2015",Galatasaray Yth,Galatasaray U16,-,-,Ozan Kabak
20/21,"Oct 1, 2020",Ajax,FC Barcelona,€18.00m,€21.00m,Sergiño Dest
19/20,"Sep 12, 2019",Ajax U21,Ajax,€600Th.,-,Sergiño Dest
18/19,"Jan 1, 2019",Ajax U19,Ajax U21,-,-,Sergiño Dest
17/18,"Jul 1, 2017",Ajax U17,Ajax U19,-,-,Sergiño Dest
16/17,"Jul 1, 2016",Ajax Youth ,Ajax U17,-,-,Sergiño Dest
12/13,"Jul 1, 2012",Almere City FC ,Ajax Youth ,-,free transfer,Sergiño Dest
18/19,"Jul 1, 2018",Partizan,Fiorentina,€1.00m,€1.95m,Dusan Vlahovic
15/16,"Jan 1, 2016",Partizan U19,Partizan,€50Th.,-,Dusan Vlahovic
15/16,"Jul 1, 2015",Partizan U17,Partizan U19,€50Th.,-,Dusan Vlahovic
20/21,"Sep 5, 2020",Juventus,Atalanta BC,€14.00m,Loan fee:€2.32m,Cristian Romero
19/20,"Aug 31, 2020",Genoa,Juventus,€14.00m,End of loan,Cristian Romero
19/20,"Jul 13, 2019",Juventus,Genoa,€15.00m,loan transfer,Cristian Romero
19/20,"Jul 12, 2019",Genoa,Juventus,€15.00m,€26.00m,Cristian Romero
18/19,"Jul 1, 2018",Belgrano,Genoa,€750Th.,€4.25m,Cristian Romero
16/17,"Jul 1, 2016",Belgrano II,Belgrano,€150Th.,-,Cristian Romero
15/16,"Jul 1, 2015",Belgrano U20,Belgrano II,-,-,Cristian Romero
19/20,"Jul 20, 2020",Villarreal,Fulham,€20.00m,End of loan,André Zambo Anguissa
19/20,"Jul 26, 2019",Fulham,Villarreal,€25.00m,loan transfer,André Zambo Anguissa
18/19,"Aug 9, 2018",Marseille,Fulham,€18.00m,€24.85m,André Zambo Anguissa
16/17,"Jul 1, 2016",Marseille B,Marseille,€300Th.,-,André Zambo Anguissa
15/16,"Jul 31, 2015",Stade Reims B,Marseille B,-,free transfer,André Zambo Anguissa
14/15,"Jul 1, 2014",Cotonsport,Stade Reims B,-,free transfer,André Zambo Anguissa
20/21,"Oct 5, 2020",Norwich,Everton,€16.00m,€27.50m,Ben Godfrey
17/18,"May 31, 2018",Shrewsbury,Norwich,€100Th.,End of loan,Ben Godfrey
17/18,"Aug 24, 2017",Norwich,Shrewsbury,-,loan transfer,Ben Godfrey
15/16,"Jan 15, 2016",York City,Norwich,-,€2.95m,Ben Godfrey
15/16,"Jul 1, 2015",York City U19,York City,-,-,Ben Godfrey
19/20,"Jul 31, 2020",Leeds,Brighton,€5.50m,End of loan,Ben White
19/20,"Jul 1, 2019",Brighton,Leeds,-,loan transfer,Ben White
18/19,"May 31, 2019",Peterborough,Brighton,-,End of loan,Ben White
18/19,"Jan 3, 2019",Brighton,Peterborough,-,loan transfer,Ben White
18/19,"Jul 1, 2018",Brighton U23,Brighton,-,-,Ben White
17/18,"May 31, 2018",Newport County,Brighton U23,-,End of loan,Ben White
17/18,"Aug 1, 2017",Brighton U23,Newport County,-,loan transfer,Ben White
14/15,"Jan 1, 2015",Brighton U18,Brighton U21,-,-,Ben White
14/15,"Jul 1, 2014",Southampton Aca,Brighton U18,-,free transfer,Ben White
20/21,"Sep 1, 2020",FC Schalke 04,Juventus,€20.00m,Loan fee:€4.50m,Weston McKennie
17/18,"Jul 1, 2017",Schalke 04 U19,FC Schalke 04,€100Th.,-,Weston McKennie
16/17,"Aug 28, 2016",Dallas Academy,Schalke 04 U19,-,free transfer,Weston McKennie
19/20,"Aug 9, 2019",Boca Juniors,Cagliari Calcio,€18.00m,€18.00m,Nahitan Nández
17/18,"Aug 23, 2017",Peñarol,Boca Juniors,€2.75m,€3.40m,Nahitan Nández
13/14,"Jan 1, 2014",Peñarol U19,Peñarol,-,-,Nahitan Nández
12/13,"Mar 28, 2013",CA Ituzaingó,Peñarol U19,-,free transfer,Nahitan Nández
18/19,"Jul 2, 2018",Saint-Étienne,LOSC Lille,€8.00m,free transfer,Jonathan Bamba
16/17,"Jun 30, 2017",SCO Angers,Saint-Étienne,€1.00m,End of loan,Jonathan Bamba
16/17,"Jan 4, 2017",Saint-Étienne,SCO Angers,€600Th.,loan transfer,Jonathan Bamba
16/17,"Jan 3, 2017",Sint-Truiden,Saint-Étienne,€600Th.,End of loan,Jonathan Bamba
16/17,"Aug 17, 2016",Saint-Étienne,Sint-Truiden,€600Th.,loan transfer,Jonathan Bamba
15/16,"Jun 30, 2016",Paris FC,Saint-Étienne,€600Th.,End of loan,Jonathan Bamba
15/16,"Jan 18, 2016",Saint-Étienne,Paris FC,€250Th.,loan transfer,Jonathan Bamba
15/16,"Jul 1, 2015",Saint-Étienne B,Saint-Étienne,€150Th.,-,Jonathan Bamba
13/14,"Jul 1, 2013",St-Étienne U19,Saint-Étienne B,-,-,Jonathan Bamba
17/18,"Jan 15, 2018",FC Basel,Bor. Dortmund,€5.00m,€21.50m,Manuel Akanji
15/16,"Jul 1, 2015",FC Winterthur,FC Basel,€250Th.,€700Th.,Manuel Akanji
14/15,"Jul 1, 2014",Winterthur U21,FC Winterthur,-,-,Manuel Akanji
13/14,"Jul 1, 2013",Winterthur U18,Winterthur U21,-,-,Manuel Akanji
19/20,"Jan 29, 2020",PSV Eindhoven,Spurs,€35.00m,€30.00m,Steven Bergwijn
15/16,"Aug 19, 2015",PSV U21,PSV Eindhoven,€400Th.,-,Steven Bergwijn
14/15,"Jul 1, 2014",PSV U19,PSV U21,-,-,Steven Bergwijn
13/14,"Jul 1, 2013",PSV U17,PSV U19,-,-,Steven Bergwijn
12/13,"Jul 1, 2012",PSV Eindhoven Y,PSV U17,-,-,Steven Bergwijn
11/12,"Jul 1, 2011",Ajax Youth ,PSV Eindhoven Y,-,€120Th.,Steven Bergwijn
05/06,"Jul 1, 2005",ASC Waterw. Yth,Ajax Youth ,-,free transfer,Steven Bergwijn
20/21,"Sep 19, 2020",Real Madrid,Spurs,€25.00m,€30.00m,Sergio Reguilón
20/21,"Aug 22, 2020",Sevilla FC,Real Madrid,€25.00m,End of loan,Sergio Reguilón
19/20,"Jul 5, 2019",Real Madrid,Sevilla FC,€15.00m,loan transfer,Sergio Reguilón
18/19,"Jul 1, 2018",RM Castilla,Real Madrid,€300Th.,-,Sergio Reguilón
16/17,"Jun 30, 2017",UD Logroñés,RM Castilla,€300Th.,End of loan,Sergio Reguilón
16/17,"Aug 23, 2016",RM Castilla,UD Logroñés,€200Th.,loan transfer,Sergio Reguilón
15/16,"Feb 1, 2016",UD Logroñés,RM Castilla,-,End of loan,Sergio Reguilón
15/16,"Aug 5, 2015",RM Castilla,UD Logroñés,-,loan transfer,Sergio Reguilón
15/16,"Jul 1, 2015",Real Madrid U19,RM Castilla,-,-,Sergio Reguilón
14/15,"Jul 1, 2014",Real Madrid U18,Real Madrid U19,-,-,Sergio Reguilón
13/14,"Jul 1, 2013",Real Madrid U17,Real Madrid U18,-,-,Sergio Reguilón
18/19,"Aug 21, 2018",Man City,Olympique Lyon,€3.00m,€10.00m,Jason Denayer
17/18,"Jun 30, 2018",Galatasaray,Man City,€3.00m,End of loan,Jason Denayer
17/18,"Aug 31, 2017",Man City,Galatasaray,€4.00m,Loan fee:€500Th.,Jason Denayer
16/17,"May 31, 2017",Sunderland,Man City,€4.00m,End of loan,Jason Denayer
16/17,"Aug 31, 2016",Man City,Sunderland,€4.00m,loan transfer,Jason Denayer
15/16,"Jun 30, 2016",Galatasaray,Man City,€4.00m,End of loan,Jason Denayer
15/16,"Aug 31, 2015",Man City,Galatasaray,€3.00m,Loan fee:€436Th.,Jason Denayer
14/15,"Jun 30, 2015",Celtic,Man City,€500Th.,End of loan,Jason Denayer
14/15,"Aug 12, 2014",Man City,Celtic,-,loan transfer,Jason Denayer
14/15,"Jul 1, 2014",Man City U18,Man City,-,-,Jason Denayer
13/14,"Jul 1, 2013",JMG Lier,Man City U18,-,€275Th.,Jason Denayer
15/16,"Jul 1, 2015",Milan U19,AC Milan,€150Th.,-,Davide Calabria
13/14,"Jul 1, 2013",AC Milan Youth,Milan U19,-,-,Davide Calabria
19/20,"Jan 30, 2020",Olympiacos,Wolves,€6.00m,€19.60m,Daniel Podence
18/19,"Jul 9, 2018",Sporting CP,Olympiacos,€4.50m,€7.00m,Daniel Podence
16/17,"Jan 31, 2017",Moreirense ,Sporting CP,€1.50m,End of loan,Daniel Podence
16/17,"Aug 31, 2016",Sporting CP,Moreirense ,€1.50m,loan transfer,Daniel Podence
16/17,"Jul 1, 2016",Sporting B,Sporting CP,€400Th.,-,Daniel Podence
14/15,"Jul 1, 2014",Sporting U19,Sporting B,-,-,Daniel Podence
12/13,"Jul 1, 2012",Sporting U17,Sporting U19,-,-,Daniel Podence
10/11,"Jul 1, 2010",Sporting Sub-15,Sporting U17,-,-,Daniel Podence
08/09,"Jul 1, 2008",Sporting Yth.,Sporting Sub-15,-,-,Daniel Podence
05/06,"Jul 1, 2005",Belenenses ,Sporting Yth.,-,-,Daniel Podence
15/16,"Jul 1, 2015",Bilbao Athletic,Athletic,€5.00m,-,Iñaki Williams
14/15,"Jul 1, 2014",CD Basconia,Bilbao Athletic,-,-,Iñaki Williams
13/14,"Jul 1, 2013",Bilbao U19,CD Basconia,-,-,Iñaki Williams
17/18,"Jul 1, 2017",Lech Poznan,Southampton,€500Th.,€6.00m,Jan Bednarek
15/16,"Jun 30, 2016",Gornik Leczna,Lech Poznan,€150Th.,End of loan,Jan Bednarek
15/16,"Jul 13, 2015",Lech Poznan,Gornik Leczna,€150Th.,Loan fee:€10Th.,Jan Bednarek
13/14,"Sep 1, 2013",Lech Poznan II,Lech Poznan,-,-,Jan Bednarek
12/13,"Jul 1, 2012",MSP Szamotuly,Lech Poznan II,-,?,Jan Bednarek
20/21,"Sep 8, 2020",AS Roma,Bay. Leverkusen,€25.00m,€26.50m,Patrik Schick
19/20,"Aug 24, 2020",RB Leipzig,AS Roma,€25.00m,End of loan,Patrik Schick
19/20,"Sep 2, 2019",AS Roma,RB Leipzig,€15.00m,Loan fee:€3.50m,Patrik Schick
18/19,"Jul 1, 2018",Sampdoria,AS Roma,€20.00m,€42.00m,Patrik Schick
17/18,"Jun 30, 2018",AS Roma,Sampdoria,€20.00m,End of loan,Patrik Schick
17/18,"Aug 29, 2017",Sampdoria,AS Roma,€15.00m,loan transfer,Patrik Schick
16/17,"Jul 13, 2016",Sparta Prague,Sampdoria,€500Th.,€4.00m,Patrik Schick
15/16,"Jun 30, 2016",Bohemians 1905,Sparta Prague,€500Th.,End of loan,Patrik Schick
15/16,"Jul 1, 2015",Sparta Prague,Bohemians 1905,€200Th.,loan transfer,Patrik Schick
14/15,"Jul 1, 2014",Sparta Prag U19,Sparta Prague,€200Th.,-,Patrik Schick
13/14,"Jul 1, 2013",Sparta Prag U17,Sparta Prag U19,-,-,Patrik Schick
18/19,"Jul 20, 2018",RB Salzburg,Marseille,€10.00m,€19.00m,Duje Caleta-Car
14/15,"Jan 7, 2015",FC Liefering,RB Salzburg,€200Th.,-,Duje Caleta-Car
14/15,"Jul 1, 2014",Pasching/LASK,FC Liefering,-,?,Duje Caleta-Car
13/14,"Jul 5, 2013",HNK Sibenik,FC Pasching,-,€50Th.,Duje Caleta-Car
12/13,"Jul 1, 2012",HNK Sibenik U17,HNK Sibenik,-,-,Duje Caleta-Car
11/12,"Jul 1, 2011",HNK Sibenik Jgd,HNK Sibenik U17,-,-,Duje Caleta-Car
